SL.NO,ATC POCKET-NO,TOOL NAME,HOLDER NAME,REMARKS,TOOL LIFE TIME
1,1,125 ROUGHING FACEMILL,SLA40 100GPL,N/A,N/A
2,2,63 ROUGHING SHOULDERMILL,FMB22 150GPL,N/A,N/A
3,3,80 ROUGHING SHOULDERMILL,FMB27 150GPL,N/A,N/A
4,4,16 FINISHING ENDMILL,ER32 150GPL,N/A,N/A
5,5,5 CARBIDE DRILL,ER32 100GPL,ER32 100GPL with ER16 200GPL used for 5 drill,N/A
6,6,6.8 CARBIDE DRILL,ER16 200GPL,N/A,N/A
7,7,10.2 CARBIDE DRILL,ER25 150GPL,N/A,N/A
8,8,14 CARBIDE DRILL,ER25 150GPL,N/A,N/A
9,9,16 ROUGHING ENDMILL,ER32 150GPL,N/A,N/A
10,10,5.8 CARBIDE DRILL,ER16 150GPL,N/A,N/A
11,11,6.6 CARBIDE DRILL,ER16 150GPL,N/A,N/A
12,12,11.8 CARBIDE DRILL,ER25 150GPL,N/A,N/A
13,13,15.8 CARBIDE DRILL,ER32 100GPL,N/A,N/A
14,14,10 ENDMILL,ER25 150GPL,N/A,N/A
15,15,14 ENDMILL,ER25 150GPL,N/A,N/A
16,16,19.8 CARBIDE DRILL,ER40 100GPL,N/A,N/A
17,17,125 FINISHING FACEMILL,SLA40 100GPL,N/A,N/A
18,18,6H7 REAMER,ER16 150GPL,N/A,N/A
19,19,12H7 REAMER,ER25 150GPL,N/A,N/A
20,20,16H7 REAMER,ER25 100GPL,N/A,N/A
21,21,M6 ST TAP,ER16 150GPL,N/A,N/A
22,22,M8 ST TAP,ER16 200GPL,N/A,N/A
23,23,M12 ST TAP,ER32 150GPL,N/A,N/A
24,24,M16 ST TAP,ER32 150GPL,N/A,N/A
25,25,26 U DRILL,SLN32 100GPL,N/A,N/A
26,26,8.5 CARBIDE DRILL,SLN20 100GPL,Side lock holder with ER16 200GPL used for 8.5 drill,N/A
27,27,40 BACK SPOTFACE,SLN32 100GPL,N/A,N/A
28,28,M10 ST TAP,ER20 150GPL,N/A,N/A
29,29,20H7 REAMER,ER40 100GPL,N/A,N/A
30,30,45 DEGREE CHAMFER TOOL,ER32 150GPL,Insert type chamfer tool used,N/A
31,31,N/A,N/A,N/A,N/A
32,32,N/A,N/A,N/A,N/A
33,33,N/A,N/A,N/A,N/A
34,34,4.2 CARBIDE DRILL,ER16 150GPL,N/A,N/A
35,35,N/A,N/A,N/A,N/A
36,36,N/A,N/A,N/A,N/A
37,37,N/A,N/A,N/A,N/A
38,38,18 ENDMILL,ER32 150GPL,N/A,N/A
39,39,26 ENDMILL,SLN20 100GPL,Insert type endmill used for counter only,N/A
40,40,12 ENDMILL,ER25 100GPL,N/A,N/A
41,41,21 U DRILL,SLN25 100GPL,N/A,N/A
42,42,M24 ST TAP,ER40 100GPL,N/A,N/A
43,43,63 FINISHING SHOULDERMILL,FMB22 150GPL,N/A,N/A
44,44,N/A,N/A,N/A,N/A
45,45,17.5 U DRILL,SLN25 100GPL,N/A,N/A
46,46,M20 ST TAP,ER32 100GPL,N/A,N/A
47,47,50 ROUGHING SHOULDERMILL,FMB22 150GPL,N/A,N/A
48,48,12 CARBIDE DRILL,ER20 100GPL,N/A,N/A
49,49,M14 ST TAP,ER32 100GPL,N/A,N/A
50,50,80 FINISHING SHOULDERMILL,SMS27 220GPL,N/A,N/A
51,51,40 ROUGHING SHOULDERMILL,FMH16 160GPL,N/A,N/A
52,52,10.2 CARBIDE DRILL,ER25 250GPL,N/A,N/A
53,53,M12 ST TAP,ER32 250GPL,N/A,N/A
54,54,14 CARBIDE DRILL,ER25 250GPL,N/A,N/A
55,55,M16 ST TAP,ER32 250GPL,N/A,N/A
56,56,N/A,N/A,N/A,N/A
57,57,N/A,N/A,N/A,N/A
58,58,N/A,N/A,N/A,N/A
59,59,N/A,N/A,N/A,N/A
60,60,N/A,N/A,N/A,N/A
